INSTANCE,HH,MODEL,SIZE
random_100_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_100_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_100_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_100_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_100_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_100_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_10_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_10_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_10_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_10_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_10_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_10_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_11_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_11_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_11_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_11_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_11_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_11_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_12_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_12_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_12_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_12_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_12_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_12_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_13_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_13_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_13_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_13_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_13_75_25.vcp,13,GaussianNB(),VCP-Training-00NAs
random_13_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_14_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_14_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_14_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_14_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_14_75_25.vcp,10,GaussianNB(),VCP-Training-00NAs
random_14_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_15_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_15_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_15_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_15_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_15_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_15_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_16_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_16_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_16_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_16_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_16_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_16_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_17_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_17_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_17_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_17_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_17_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_17_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_18_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_18_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_18_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_18_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_18_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_18_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_19_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_19_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_19_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_19_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_19_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_19_75_50.vcp,20,GaussianNB(),VCP-Training-00NAs
random_1_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_1_25_50.vcp,7,GaussianNB(),VCP-Training-00NAs
random_1_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_1_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_1_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_1_75_50.vcp,20,GaussianNB(),VCP-Training-00NAs
random_20_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_20_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_20_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_20_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_20_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_20_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_21_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_21_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_21_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_21_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_21_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_21_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_22_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_22_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_22_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_22_50_50.vcp,11,GaussianNB(),VCP-Training-00NAs
random_22_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_22_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_23_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_23_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_23_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_23_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
random_23_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_23_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_24_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_24_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_24_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_24_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_24_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_24_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_25_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_25_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_25_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_25_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_25_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_25_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_26_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_26_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_26_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_26_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_26_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_26_75_50.vcp,20,GaussianNB(),VCP-Training-00NAs
random_27_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_27_25_50.vcp,10,GaussianNB(),VCP-Training-00NAs
random_27_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_27_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_27_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_27_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_28_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_28_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_28_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_28_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_28_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_28_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_29_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_29_25_50.vcp,7,GaussianNB(),VCP-Training-00NAs
random_29_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_29_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_29_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_29_75_50.vcp,17,GaussianNB(),VCP-Training-00NAs
random_2_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_2_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_2_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_2_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_2_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_2_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_30_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_30_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_30_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_30_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_30_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_30_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_31_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_31_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_31_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_31_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_31_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_31_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_32_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_32_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_32_50_25.vcp,9,GaussianNB(),VCP-Training-00NAs
random_32_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_32_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_32_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_33_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_33_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_33_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_33_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_33_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_33_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_34_25_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_34_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_34_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_34_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_34_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_34_75_50.vcp,18,GaussianNB(),VCP-Training-00NAs
random_35_25_25.vcp,5,GaussianNB(),VCP-Training-00NAs
random_35_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_35_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_35_50_50.vcp,12,GaussianNB(),VCP-Training-00NAs
random_35_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_35_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_36_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_36_25_50.vcp,9,GaussianNB(),VCP-Training-00NAs
random_36_50_25.vcp,7,GaussianNB(),VCP-Training-00NAs
random_36_50_50.vcp,13,GaussianNB(),VCP-Training-00NAs
random_36_75_25.vcp,11,GaussianNB(),VCP-Training-00NAs
random_36_75_50.vcp,19,GaussianNB(),VCP-Training-00NAs
random_37_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_37_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_37_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_37_50_50.vcp,11,GaussianNB(),VCP-Training-00NAs
random_37_75_25.vcp,12,GaussianNB(),VCP-Training-00NAs
random_37_75_50.vcp,21,GaussianNB(),VCP-Training-00NAs
random_38_25_25.vcp,6,GaussianNB(),VCP-Training-00NAs
random_38_25_50.vcp,8,GaussianNB(),VCP-Training-00NAs
random_38_50_25.vcp,8,GaussianNB(),VCP-Training-00NAs
random_38_50_50.vcp,14,GaussianNB(),VCP-Training-00NAs
